airline,source,destination,duration,total_stops,additional_info,price,dep_time_hour,dep_time_min,dtoj_day,dtoj_month,dtoj_year
Multiple Carriers,delhi,cochin,930,1,no info,7198,10,0,1,6,2019
Jet Airways,delhi,cochin,330,1,no info,14714,7,5,15,6,2019
Indigo,delhi,cochin,570,1,no info,6316,16,0,9,6,2019
Air India,delhi,cochin,875,1,no info,5998,17,40,27,3,2019
Jet Airways,kolkata,banglore,1285,1,no info,13044,18,55,12,6,2019
Multiple Carriers,delhi,cochin,565,1,no info,9646,13,5,12,6,2019
Air Asia,delhi,cochin,865,1,no info,6451,16,45,27,6,2019
Goair,delhi,cochin,355,1,no info,5281,7,0,24,6,2019
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,2228,19,35,1,5,2019
Indigo,banglore,delhi,165,0,no info,3943,6,5,1,6,2019
Air India,delhi,cochin,1245,2,no info,11753,10,55,15,6,2019
Jet Airways,delhi,cochin,1735,2,in-flight meal not included,8728,13,55,21,3,2019
Spicejet,delhi,cochin,270,1,no info,4812,8,45,9,5,2019
Jet Airways,kolkata,banglore,1745,1,no info,14151,17,0,1,5,2019
Vistara,kolkata,banglore,765,1,no info,8452,20,20,1,5,2019
Indigo,kolkata,banglore,305,1,no info,6762,15,10,24,3,2019
Jet Airways,banglore,new delhi,1100,1,no info,13817,18,55,12,3,2019
Jet Airways,delhi,cochin,1355,1,in-flight meal not included,12898,14,0,21,5,2019
Indigo,kolkata,banglore,265,1,no info,3480,19,20,6,4,2019
Jet Airways,banglore,new delhi,580,1,1 long layover,27992,11,40,1,3,2019
Jet Airways,delhi,cochin,600,2,in-flight meal not included,7791,18,25,21,3,2019
Air India,delhi,cochin,1010,1,no info,5704,6,10,21,3,2019
Indigo,kolkata,banglore,340,1,no info,5268,16,35,21,5,2019
Goair,banglore,delhi,170,0,no info,3898,11,40,6,6,2019
Spicejet,kolkata,banglore,150,0,no info,3847,9,0,15,3,2019
Multiple Carriers,delhi,cochin,690,1,no info,10877,7,30,12,6,2019
Multiple Carriers,delhi,cochin,630,1,no info,8371,8,45,9,4,2019
Multiple Carriers,delhi,cochin,920,1,no info,7038,7,10,6,6,2019
Jet Airways,kolkata,banglore,590,1,no info,14571,6,30,9,6,2019
Jet Airways,kolkata,banglore,800,1,in-flight meal not included,11841,20,0,9,6,2019
Jet Airways,delhi,cochin,1390,2,no info,15129,13,25,18,5,2019
Spicejet,kolkata,banglore,140,0,no check-in baggage included,3841,22,20,15,6,2019
Jet Airways,delhi,cochin,1505,1,in-flight meal not included,10262,11,30,24,6,2019
Air India,kolkata,banglore,155,0,no info,4460,20,45,6,4,2019
Indigo,banglore,new delhi,175,0,no info,7648,18,25,3,3,2019
Vistara,kolkata,banglore,790,1,no info,8610,7,10,6,6,2019
Indigo,chennai,kolkata,140,0,no info,3597,13,15,18,6,2019
Indigo,delhi,cochin,515,1,no info,6442,7,35,24,6,2019
Indigo,delhi,cochin,860,1,no info,12351,6,40,9,3,2019
Multiple Carriers,delhi,cochin,480,1,no info,14067,17,30,21,5,2019
Indigo,banglore,delhi,170,0,no info,4823,20,0,15,5,2019
Vistara,kolkata,banglore,1750,1,no info,12102,17,0,24,3,2019
Jet Airways,mumbai,hyderabad,85,0,no info,8040,7,5,24,5,2019
Indigo,delhi,cochin,325,1,no info,6582,2,0,9,5,2019
Vistara,banglore,delhi,170,0,no info,4668,11,30,12,6,2019
Indigo,banglore,delhi,170,0,no info,4823,20,0,1,4,2019
Spicejet,kolkata,banglore,140,0,no info,3873,22,20,1,5,2019
Multiple Carriers,delhi,cochin,535,1,no info,8476,10,20,18,5,2019
Indigo,delhi,cochin,315,1,no info,5636,7,15,27,5,2019
Jet Airways,kolkata,banglore,685,1,in-flight meal not included,8586,8,25,12,5,2019
Indigo,banglore,delhi,175,0,no info,4823,18,25,6,6,2019
Air India,delhi,cochin,170,0,no info,6881,5,10,6,3,2019
Jet Airways,kolkata,banglore,510,1,in-flight meal not included,10844,14,5,9,5,2019
Indigo,kolkata,banglore,220,1,no info,4226,19,35,24,4,2019
Jet Airways,delhi,cochin,1425,1,in-flight meal not included,12373,19,15,9,5,2019
Air India,kolkata,banglore,810,2,no info,10697,8,20,6,6,2019
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,4995,10,20,3,6,2019
Air India,delhi,cochin,1595,2,no info,9443,16,40,24,6,2019
Jet Airways,delhi,cochin,2040,2,no info,12347,18,25,21,3,2019
Multiple Carriers,delhi,cochin,480,1,no info,7408,13,0,9,6,2019
Jet Airways,kolkata,banglore,865,1,in-flight meal not included,7064,18,55,1,4,2019
Jet Airways,delhi,cochin,925,1,in-flight meal not included,13843,13,0,6,3,2019
Indigo,kolkata,banglore,155,0,no info,4174,15,30,12,4,2019
Multiple Carriers,delhi,cochin,565,3,no info,16294,11,35,15,5,2019
Spicejet,kolkata,banglore,155,0,no check-in baggage included,3841,6,55,18,5,2019
Indigo,banglore,delhi,170,0,no info,4423,4,0,15,6,2019
Air India,delhi,cochin,170,0,no info,5201,5,10,12,6,2019
Air India,banglore,new delhi,1705,2,no info,12599,6,45,3,3,2019
Indigo,mumbai,hyderabad,90,0,no info,4049,6,25,21,5,2019
Air India,kolkata,banglore,1505,2,no info,12797,9,25,24,5,2019
Jet Airways,kolkata,banglore,870,1,no info,13067,20,25,24,5,2019
Vistara,kolkata,banglore,1350,1,no info,9345,20,20,24,5,2019
Indigo,delhi,cochin,425,1,no info,6818,5,5,21,5,2019
Jet Airways,mumbai,hyderabad,90,0,no info,8040,10,20,3,5,2019
Jet Airways,delhi,cochin,1095,2,no info,14300,18,20,12,6,2019
Multiple Carriers,delhi,cochin,435,1,no info,13727,18,15,15,5,2019
Jet Airways,banglore,new delhi,1050,1,in-flight meal not included,7832,16,55,21,3,2019
Multiple Carriers,delhi,cochin,535,1,no info,16259,4,0,9,3,2019
Indigo,banglore,delhi,170,0,no info,4823,8,30,27,6,2019
Jet Airways,banglore,new delhi,1235,1,no info,16736,11,40,6,3,2019
Air India,kolkata,banglore,1200,2,no info,13217,9,25,6,6,2019
Multiple Carriers,delhi,cochin,490,1,no info,6637,12,50,27,3,2019
Jet Airways,kolkata,banglore,1025,1,in-flight meal not included,10844,18,55,9,6,2019
Multiple Carriers,delhi,cochin,555,1,in-flight meal not included,8401,10,0,21,3,2019
Spicejet,kolkata,banglore,145,0,no info,3873,9,0,12,4,2019
Jet Airways,delhi,cochin,505,2,in-flight meal not included,12410,20,0,24,6,2019
Jet Airways,delhi,cochin,810,2,no info,15129,23,5,18,5,2019
Indigo,banglore,delhi,170,0,no info,4423,13,0,1,5,2019
Jet Airways,delhi,cochin,360,1,no info,16079,13,0,27,5,2019
Air India,kolkata,banglore,1105,2,no info,15894,14,30,6,6,2019
Multiple Carriers,delhi,cochin,845,1,no info,9103,4,55,15,5,2019
Air India,delhi,cochin,1350,1,no info,8991,9,45,12,6,2019
Air India,kolkata,banglore,1530,2,no info,7893,16,50,1,4,2019
Indigo,mumbai,hyderabad,90,0,no info,4575,2,30,3,3,2019
Spicejet,kolkata,banglore,145,0,no info,3873,9,0,3,5,2019
Jet Airways,banglore,new delhi,935,1,in-flight meal not included,7832,5,45,21,3,2019
Indigo,chennai,kolkata,140,0,no info,3597,14,45,1,5,2019
Jet Airways,kolkata,banglore,1575,1,no info,13759,21,10,24,3,2019
Jet Airways,banglore,delhi,185,0,no info,7229,18,55,27,5,2019
Spicejet,kolkata,banglore,155,0,no info,3873,6,55,15,4,2019
Multiple Carriers,delhi,cochin,780,1,no info,9794,6,0,15,5,2019
Air India,delhi,cochin,1125,1,no info,6681,13,30,27,3,2019
Indigo,banglore,delhi,180,0,no info,4423,21,15,21,4,2019
Jet Airways,kolkata,banglore,685,1,in-flight meal not included,10844,8,25,15,5,2019
Indigo,delhi,cochin,705,1,no info,7258,9,15,1,6,2019
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,4995,10,20,12,6,2019
Jet Airways,delhi,cochin,1325,1,no info,14924,20,55,9,6,2019
Vistara,banglore,new delhi,1665,1,no info,6590,6,40,15,3,2019
Jet Airways,delhi,cochin,940,1,in-flight meal not included,10262,20,55,3,6,2019
Spicejet,kolkata,banglore,150,0,no info,5515,9,0,9,3,2019
Jet Airways,delhi,cochin,1475,2,in-flight meal not included,6643,19,10,27,3,2019
Indigo,mumbai,hyderabad,90,0,no info,2754,19,5,24,6,2019
Indigo,delhi,cochin,310,1,no info,6493,17,5,9,6,2019
Indigo,kolkata,banglore,325,1,no info,6218,18,5,24,5,2019
Air India,delhi,cochin,800,2,no info,10861,5,55,6,6,2019
Indigo,delhi,cochin,515,1,no info,7094,7,35,6,3,2019
Spicejet,mumbai,hyderabad,85,0,no info,2227,22,45,24,3,2019
Jet Airways,banglore,delhi,180,0,in-flight meal not included,4544,19,50,21,4,2019
Air India,banglore,new delhi,630,2,no info,7664,5,50,21,3,2019
Jet Airways,banglore,delhi,180,0,no info,8016,17,45,27,6,2019
Air Asia,kolkata,banglore,150,0,no info,3807,22,50,27,5,2019
Air India,delhi,cochin,725,2,no info,12698,7,10,3,6,2019
Jet Airways,kolkata,banglore,1330,1,in-flight meal not included,8586,6,30,24,5,2019
Jet Airways,kolkata,banglore,1330,1,in-flight meal not included,7064,6,30,1,4,2019
Indigo,delhi,cochin,195,0,no info,5601,5,35,9,6,2019
Spicejet,delhi,cochin,380,1,no info,7317,15,45,21,5,2019
Air India,kolkata,banglore,1470,3,no info,12797,10,0,6,5,2019
Indigo,kolkata,banglore,255,1,no info,4226,6,15,6,4,2019
Jet Airways,kolkata,banglore,395,1,no info,14151,17,0,12,5,2019
Indigo,delhi,cochin,890,1,no info,6628,10,45,27,3,2019
Indigo,banglore,new delhi,170,0,no info,8033,4,0,9,3,2019
Multiple Carriers,delhi,cochin,505,1,no info,11200,10,35,1,6,2019
Indigo,kolkata,banglore,155,0,no info,4804,15,30,24,6,2019
Air Asia,kolkata,banglore,720,1,no info,5192,22,40,12,6,2019
Jet Airways,delhi,cochin,1125,2,no info,13014,9,40,12,6,2019
Jet Airways,kolkata,banglore,1525,1,in-flight meal not included,10844,21,10,21,5,2019
Multiple Carriers,delhi,cochin,510,1,no info,15603,7,0,6,3,2019
Goair,banglore,delhi,175,0,no info,4239,7,45,3,4,2019
Jet Airways,kolkata,banglore,1200,1,no info,13044,14,5,12,6,2019
Jet Airways,delhi,cochin,1485,1,in-flight meal not included,12898,18,15,27,5,2019
Spicejet,kolkata,banglore,520,1,no info,6013,8,35,1,4,2019
Jet Airways,kolkata,banglore,365,1,no info,14781,16,30,6,5,2019
Jet Airways,delhi,cochin,655,1,no info,12557,17,30,21,3,2019
Multiple Carriers,delhi,cochin,845,1,no info,13875,4,45,6,3,2019
Jet Airways,delhi,cochin,1130,2,in-flight meal not included,11507,9,35,15,6,2019
Air India,kolkata,banglore,150,0,no info,5510,14,15,18,6,2019
Goair,kolkata,banglore,460,1,no info,10198,16,25,24,3,2019
Jet Airways,kolkata,banglore,435,1,no info,8355,10,20,12,6,2019
Jet Airways,banglore,delhi,185,0,no info,8016,18,55,1,6,2019
Indigo,delhi,cochin,625,1,no info,6314,10,35,27,5,2019
Air India,delhi,cochin,170,0,no info,5831,5,10,9,3,2019
Jet Airways,delhi,cochin,550,1,in-flight meal not included,10262,19,15,24,6,2019
Multiple Carriers,delhi,cochin,700,1,in-flight meal not included,15136,13,55,6,3,2019
Jet Airways,banglore,new delhi,830,1,in-flight meal not included,7832,20,35,21,3,2019
Spicejet,chennai,kolkata,135,0,no info,3859,8,20,24,3,2019
Indigo,kolkata,banglore,150,0,no info,4174,15,15,6,4,2019
Jet Airways,banglore,new delhi,340,1,no info,19225,5,45,6,3,2019
Indigo,delhi,cochin,975,1,no info,10518,4,45,9,3,2019
Indigo,banglore,delhi,175,0,no info,4823,7,10,6,4,2019
Air India,banglore,new delhi,165,0,no info,7276,10,0,24,3,2019
Multiple Carriers,delhi,cochin,540,1,no info,12192,10,0,9,6,2019
Air Asia,delhi,cochin,865,1,no info,11410,16,45,1,6,2019
Jet Airways,banglore,new delhi,570,1,no info,26890,5,45,1,3,2019
Indigo,kolkata,banglore,150,0,no info,4804,15,15,27,6,2019
Jet Airways,kolkata,banglore,1550,1,in-flight meal not included,10844,18,55,15,5,2019
Air India,delhi,cochin,1820,2,no info,12436,12,55,12,6,2019
Indigo,banglore,delhi,175,0,no info,4823,7,10,21,6,2019
Indigo,mumbai,hyderabad,90,0,no info,2227,21,20,3,6,2019
Jet Airways,delhi,cochin,940,1,in-flight meal not included,10262,20,55,1,6,2019
Jet Airways,delhi,cochin,1225,1,no info,17024,8,0,3,3,2019
Jet Airways,delhi,cochin,1325,2,in-flight meal not included,9296,6,20,27,3,2019
Air India,delhi,cochin,185,0,no info,6094,18,5,6,6,2019
Jet Airways,kolkata,banglore,1215,1,in-flight meal not included,8586,8,25,9,6,2019
Jet Airways,delhi,cochin,1300,2,in-flight meal not included,10919,6,45,15,6,2019
Goair,kolkata,banglore,455,1,no info,9495,16,40,9,6,2019
Jet Airways,delhi,cochin,395,1,no info,14714,21,50,12,6,2019
Air India,delhi,cochin,180,0,no info,5201,14,10,24,6,2019
Air India,delhi,cochin,1420,2,no info,7090,9,45,27,3,2019
Indigo,mumbai,hyderabad,90,0,no info,4575,9,10,15,5,2019
Multiple Carriers,delhi,cochin,545,1,no info,9646,7,5,15,5,2019
Indigo,delhi,cochin,325,1,no info,5636,2,0,12,6,2019
Multiple Carriers,delhi,cochin,545,1,no info,9646,7,5,15,6,2019
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,4050,19,40,9,3,2019
Jet Airways,delhi,cochin,1270,1,no info,14714,21,50,9,6,2019
Indigo,kolkata,banglore,150,0,no info,4804,15,15,18,6,2019
Jet Airways,delhi,cochin,1485,1,in-flight meal not included,10577,18,15,9,6,2019
Goair,banglore,delhi,165,0,no info,3898,20,55,15,6,2019
Jet Airways,kolkata,banglore,960,1,no info,14571,20,0,6,6,2019
Jet Airways,banglore,delhi,165,0,no info,8016,6,0,18,6,2019
Indigo,delhi,cochin,425,1,no info,6287,4,55,21,3,2019
Air India,kolkata,banglore,905,1,no info,8366,16,50,6,6,2019
Jet Airways,delhi,cochin,440,1,in-flight meal not included,15400,11,30,6,3,2019
Vistara,banglore,new delhi,160,0,no info,8553,19,40,3,3,2019
Spicejet,kolkata,banglore,155,0,no check-in baggage included,3841,6,55,9,4,2019
Air India,delhi,cochin,1545,2,no info,10021,5,55,9,4,2019
Spicejet,chennai,kolkata,140,0,no info,3597,17,45,24,6,2019
Indigo,chennai,kolkata,145,0,no info,4332,11,35,24,5,2019
Goair,banglore,delhi,165,0,no info,3898,20,55,21,6,2019
Jet Airways,mumbai,hyderabad,1665,2,no info,21375,13,5,6,3,2019
Vistara,kolkata,banglore,975,1,no info,8610,7,10,6,6,2019
Indigo,kolkata,banglore,155,0,no info,4804,17,15,15,6,2019
Air India,delhi,cochin,1730,2,no info,13591,14,25,1,6,2019
Jet Airways,kolkata,banglore,590,1,no info,14781,6,30,6,5,2019
Jet Airways,banglore,new delhi,315,1,in-flight meal not included,9134,8,0,15,3,2019
Air India,delhi,cochin,1545,2,no info,10493,5,55,9,6,2019
Jet Airways,banglore,new delhi,1280,1,in-flight meal not included,8147,11,40,24,3,2019
Spicejet,kolkata,banglore,140,0,no info,3873,22,20,21,6,2019
Jet Airways,kolkata,banglore,1025,1,no info,14571,18,55,9,6,2019
Air India,banglore,new delhi,655,2,no info,11003,10,30,3,3,2019
Jet Airways,delhi,cochin,550,1,in-flight meal not included,10262,19,15,3,6,2019
Jet Airways,delhi,cochin,995,1,no info,12719,2,15,21,3,2019
Jet Airways,delhi,cochin,1325,1,in-flight meal not included,10262,20,55,24,6,2019
Air India,banglore,delhi,165,0,no info,7171,17,0,21,6,2019
Spicejet,banglore,delhi,160,0,no info,4423,5,55,27,4,2019
Multiple Carriers,delhi,cochin,490,1,in-flight meal not included,12616,17,25,9,3,2019
Air India,delhi,cochin,1560,2,no info,12970,17,15,1,6,2019
Jet Airways,kolkata,banglore,775,1,no info,14914,21,10,24,3,2019
Jet Airways,mumbai,hyderabad,85,0,in-flight meal not included,3210,2,55,6,5,2019
Goair,banglore,delhi,175,0,no info,4632,7,45,21,4,2019
Jet Airways,delhi,cochin,655,1,in-flight meal not included,12373,17,30,9,5,2019
Indigo,kolkata,banglore,150,0,no info,4804,14,25,15,6,2019
Multiple Carriers,delhi,cochin,565,3,no info,21829,11,35,3,3,2019
Multiple Carriers,delhi,cochin,780,1,no info,13587,8,0,1,6,2019
Jet Airways,delhi,cochin,1760,2,no info,12819,23,5,27,6,2019
Air Asia,delhi,cochin,660,1,no info,6151,20,10,27,3,2019
Jet Airways,banglore,delhi,175,0,no info,8016,15,15,1,6,2019
Multiple Carriers,delhi,cochin,680,1,no info,15135,7,30,6,3,2019
Indigo,delhi,cochin,500,1,no info,6794,17,10,21,5,2019
Vistara,kolkata,banglore,1640,1,no info,8610,17,0,15,5,2019
Air India,kolkata,banglore,1840,2,no info,12723,5,50,18,5,2019
Air India,kolkata,banglore,1515,1,no info,7662,12,0,6,6,2019
Multiple Carriers,delhi,cochin,515,1,no info,14343,17,0,9,3,2019
Multiple Carriers,delhi,cochin,910,1,no info,6795,10,20,1,6,2019
Spicejet,kolkata,banglore,140,0,no info,3873,22,20,9,5,2019
Indigo,mumbai,hyderabad,90,0,no info,2754,19,5,12,6,2019
Air India,mumbai,hyderabad,905,1,no info,16666,6,10,6,3,2019
Multiple Carriers,delhi,cochin,460,1,no info,11098,4,55,1,6,2019
Jet Airways,kolkata,banglore,1745,1,in-flight meal not included,10539,17,0,9,6,2019
Air India,delhi,cochin,735,1,no info,9929,7,0,27,5,2019
Jet Airways,kolkata,banglore,1430,1,in-flight meal not included,10844,16,30,12,5,2019
Jet Airways,kolkata,banglore,1730,1,no info,12692,9,35,6,6,2019
Jet Airways,delhi,cochin,455,1,in-flight meal not included,9212,20,50,21,3,2019
Multiple Carriers,delhi,cochin,630,1,no info,13727,15,0,15,5,2019
Air Asia,banglore,delhi,170,0,no info,4282,4,55,15,6,2019
Jet Airways,kolkata,banglore,1285,1,in-flight meal not included,10844,18,55,24,5,2019
Air India,delhi,cochin,965,1,no info,7480,17,20,27,6,2019
Indigo,banglore,delhi,180,0,no info,4823,16,55,1,5,2019
Jet Airways,delhi,cochin,825,1,in-flight meal not included,12373,22,50,18,5,2019
Multiple Carriers,delhi,cochin,560,1,no info,7215,11,40,21,3,2019
Air India,delhi,cochin,1640,1,no info,7480,6,5,9,5,2019
Multiple Carriers,delhi,cochin,720,1,no info,8143,9,0,24,6,2019
Indigo,banglore,delhi,175,0,no info,4823,18,25,3,5,2019
Jet Airways,kolkata,banglore,735,1,in-flight meal not included,10844,20,0,6,6,2019
Spicejet,banglore,delhi,175,0,no info,5621,21,10,12,4,2019
Vistara,kolkata,banglore,1440,1,no info,9555,20,20,18,5,2019
Indigo,banglore,new delhi,165,0,no info,4777,1,30,21,3,2019
Spicejet,banglore,new delhi,175,0,no info,7648,9,35,3,3,2019
Indigo,kolkata,banglore,295,1,no info,10308,9,20,1,4,2019
Jet Airways,delhi,cochin,440,2,no info,21219,11,40,24,5,2019
Indigo,kolkata,banglore,295,1,no info,11319,9,20,6,5,2019
Jet Airways,kolkata,banglore,1415,1,in-flight meal not included,10844,21,10,15,5,2019
Multiple Carriers,delhi,cochin,435,1,no info,15078,18,15,9,5,2019
Spicejet,mumbai,hyderabad,90,0,no info,2017,22,45,1,5,2019
Air Asia,kolkata,banglore,150,0,no info,4409,22,50,1,6,2019
Indigo,delhi,cochin,275,1,no info,5054,7,35,9,6,2019
Air India,banglore,new delhi,980,2,no info,10111,5,50,15,3,2019
Spicejet,banglore,new delhi,170,0,no check-in baggage included,4273,20,30,18,3,2019
Air India,kolkata,banglore,905,1,no info,8576,16,50,24,5,2019
Jet Airways,banglore,delhi,180,0,no info,8016,17,45,3,6,2019
Jet Airways,banglore,delhi,175,0,no info,8016,15,15,9,6,2019
Jet Airways,kolkata,banglore,1630,1,no info,14151,20,25,18,5,2019
Indigo,banglore,delhi,165,0,no info,4423,6,5,15,4,2019
Jet Airways,mumbai,hyderabad,85,0,in-flight meal not included,4050,7,5,15,6,2019
Jet Airways,kolkata,banglore,345,1,no info,14781,14,5,6,5,2019
Jet Airways,kolkata,banglore,735,1,in-flight meal not included,8586,20,0,15,5,2019
Air Asia,kolkata,banglore,215,1,no info,5162,19,55,21,5,2019
Jet Airways,kolkata,banglore,450,1,no info,13731,21,10,9,6,2019
Jet Airways,delhi,cochin,925,1,in-flight meal not included,7438,13,0,21,3,2019
Jet Airways,kolkata,banglore,1520,1,no info,14151,9,35,15,5,2019
Vistara,banglore,delhi,170,0,no info,5613,21,0,12,4,2019
Indigo,kolkata,banglore,290,1,no info,5380,15,15,15,5,2019
Jet Airways,delhi,cochin,1015,1,in-flight meal not included,7438,11,30,21,3,2019
Multiple Carriers,delhi,cochin,925,1,no info,9646,7,5,1,6,2019
Air Asia,delhi,cochin,625,1,no info,6853,20,45,15,5,2019
Jet Airways,banglore,new delhi,375,1,no info,13555,14,5,18,3,2019
Indigo,delhi,cochin,480,1,no info,5883,17,30,15,6,2019
Indigo,delhi,cochin,425,1,no info,6171,4,55,9,3,2019
Indigo,mumbai,hyderabad,90,0,no info,3175,16,55,21,5,2019
Indigo,delhi,cochin,355,1,no info,4832,7,45,27,3,2019
Multiple Carriers,delhi,cochin,570,1,no info,13377,16,0,1,6,2019
Jet Airways,delhi,cochin,520,1,in-flight meal not included,10262,19,45,24,6,2019
Jet Airways,delhi,cochin,1100,1,in-flight meal not included,10262,18,15,1,6,2019
Air India,delhi,cochin,1180,2,no info,8603,12,0,18,5,2019
Jet Airways,kolkata,banglore,1330,1,in-flight meal not included,8586,6,30,6,6,2019
Vistara,kolkata,banglore,765,1,no info,8452,20,20,21,5,2019
Jet Airways,kolkata,banglore,1395,1,no info,14231,18,55,24,3,2019
Jet Airways,delhi,cochin,660,1,no info,16289,8,0,21,5,2019
Spicejet,banglore,new delhi,175,0,no info,6860,9,35,3,3,2019
Indigo,mumbai,hyderabad,90,0,no info,2754,2,35,9,5,2019
Multiple Carriers,delhi,cochin,925,1,no info,9646,7,5,9,6,2019
Air India,chennai,kolkata,135,0,no info,4667,11,40,27,5,2019
Indigo,kolkata,banglore,155,0,no info,4804,15,30,21,4,2019
Indigo,banglore,new delhi,165,0,no info,4545,1,30,9,3,2019
Jet Airways,banglore,new delhi,1290,1,no info,25735,22,50,1,3,2019
Jet Airways,delhi,cochin,1375,2,no info,12647,5,30,21,3,2019
Jet Airways,kolkata,banglore,1090,1,in-flight meal not included,8586,14,5,1,5,2019
Indigo,chennai,kolkata,140,0,no info,5277,22,5,9,6,2019
Indigo,delhi,cochin,845,1,no info,6206,11,30,27,3,2019
Air Asia,banglore,delhi,165,0,no info,4483,11,10,12,4,2019
Vistara,kolkata,banglore,1550,1,no info,9870,17,0,24,5,2019
Spicejet,kolkata,banglore,150,0,no check-in baggage included,3841,17,10,27,6,2019
Spicejet,kolkata,banglore,150,0,no check-in baggage included,3815,9,0,27,3,2019
Indigo,banglore,new delhi,170,0,no info,6860,23,30,24,3,2019
Jet Airways,kolkata,banglore,870,1,no info,12121,20,25,1,5,2019
Jet Airways,delhi,cochin,535,1,in-flight meal not included,5963,9,55,27,3,2019
Spicejet,banglore,delhi,160,0,no info,3625,5,55,6,6,2019
Spicejet,kolkata,banglore,145,0,no check-in baggage included,3841,9,0,15,6,2019
Indigo,banglore,delhi,170,0,no info,4823,20,0,12,6,2019
Multiple Carriers,delhi,cochin,385,1,no info,9646,9,45,12,6,2019
Jet Airways,delhi,cochin,620,1,in-flight meal not included,10152,2,15,27,5,2019
Indigo,delhi,cochin,940,1,no info,7514,6,50,3,6,2019
Jet Airways,banglore,new delhi,685,1,no info,16736,7,0,6,3,2019
Jet Airways,kolkata,banglore,910,1,no info,13584,18,55,6,5,2019
Air India,kolkata,banglore,1415,2,no info,11222,8,20,21,5,2019
Indigo,chennai,kolkata,140,0,no info,3850,7,55,1,5,2019
Vistara,banglore,new delhi,160,0,no info,7608,12,0,24,3,2019
Jet Airways,kolkata,banglore,1220,1,in-flight meal not included,10844,20,0,12,5,2019
Multiple Carriers,delhi,cochin,510,1,no info,7408,17,0,9,6,2019
Vistara,chennai,kolkata,135,0,no info,3687,7,5,18,5,2019
Spicejet,delhi,cochin,375,1,no info,11726,16,35,3,3,2019
Jet Airways,kolkata,banglore,1610,1,in-flight meal not included,9663,6,30,6,5,2019
Air India,kolkata,banglore,1845,2,no info,12829,7,0,24,3,2019
Indigo,delhi,cochin,300,1,no info,6069,16,0,27,6,2019
Jet Airways,kolkata,banglore,1640,1,in-flight meal not included,8529,16,30,12,6,2019
Vistara,kolkata,banglore,385,1,no info,8085,17,0,9,5,2019
Vistara,banglore,delhi,165,0,no info,4878,19,30,15,5,2019
Indigo,banglore,delhi,170,0,no info,4077,13,0,3,4,2019
Indigo,kolkata,banglore,315,1,no info,7605,21,0,9,5,2019
Jet Airways,delhi,cochin,1375,2,no info,13014,5,30,15,6,2019
Indigo,delhi,cochin,885,1,no info,11600,7,35,3,3,2019
Jet Airways,kolkata,banglore,1005,1,no info,14151,17,0,12,5,2019
Air India,delhi,cochin,1105,2,no info,12497,13,15,24,6,2019
Jet Airways,delhi,cochin,995,1,no info,17024,2,15,6,3,2019
Spicejet,chennai,kolkata,155,0,no info,6300,9,30,9,3,2019
Multiple Carriers,delhi,cochin,470,1,no info,15147,17,45,6,3,2019
Multiple Carriers,delhi,cochin,760,1,no info,6795,12,50,1,6,2019
Indigo,mumbai,hyderabad,85,0,no info,5755,19,5,3,3,2019
Air India,kolkata,banglore,1185,1,no info,10203,20,30,12,5,2019
Jet Airways,delhi,cochin,1015,1,no info,14714,11,30,6,6,2019
Indigo,banglore,new delhi,170,0,no info,4545,22,20,18,3,2019
Jet Airways,kolkata,banglore,855,1,no info,14781,6,30,15,5,2019
Air India,banglore,new delhi,1655,2,no info,11602,7,30,12,3,2019
Indigo,mumbai,hyderabad,90,0,no info,4049,6,25,6,5,2019
Jet Airways,kolkata,banglore,740,1,no info,14571,8,25,9,6,2019
Air India,banglore,delhi,165,0,no info,6961,6,10,9,6,2019
Spicejet,kolkata,banglore,520,1,no info,6381,8,35,15,5,2019
Spicejet,kolkata,banglore,155,0,no check-in baggage included,3841,6,55,1,4,2019
Jet Airways,delhi,cochin,1325,2,no info,11538,6,20,21,3,2019
Vistara,kolkata,banglore,1440,1,no info,8610,20,20,6,5,2019
Multiple Carriers,delhi,cochin,840,1,no info,7408,7,0,1,6,2019
Jet Airways,delhi,cochin,1010,1,in-flight meal not included,10262,19,45,27,6,2019
Air India,kolkata,banglore,1625,2,no info,10991,5,50,6,5,2019
Multiple Carriers,delhi,cochin,435,1,no info,13587,18,15,9,6,2019
Air India,delhi,cochin,1255,1,no info,7480,12,30,15,5,2019
Indigo,banglore,new delhi,300,1,no info,6351,17,55,9,3,2019
Multiple Carriers,delhi,cochin,420,1,in-flight meal not included,7153,14,0,27,5,2019
Air Asia,kolkata,banglore,150,0,no info,4409,19,55,6,5,2019
Indigo,kolkata,banglore,315,1,no info,7228,21,0,15,5,2019
Multiple Carriers,delhi,cochin,650,1,no info,11667,8,0,27,3,2019
Spicejet,kolkata,banglore,315,1,no info,4649,15,5,12,6,2019
Air India,kolkata,banglore,1255,2,no info,12592,16,50,9,5,2019
Multiple Carriers,delhi,cochin,520,1,no info,11789,10,20,12,6,2019
Air India,chennai,kolkata,135,0,no info,4667,11,40,1,6,2019
Air Asia,kolkata,banglore,720,1,no info,9719,22,40,21,5,2019
Air India,delhi,cochin,375,1,no info,6902,13,0,27,3,2019
