airline,source,destination,duration,total_stops,additional_info,dep_time_hour,dep_time_min,dtoj_day,dtoj_month,dtoj_year,price
Indigo,delhi,cochin,835,1,no info,8,35,1,6,2019,6442
Indigo,kolkata,banglore,320,1,no info,15,10,9,6,2019,7095
Jet Airways,kolkata,banglore,540,1,no info,19,45,24,3,2019,13759
Jet Airways,banglore,delhi,180,0,no info,17,45,27,4,2019,7229
Air Asia,kolkata,banglore,150,0,no info,19,55,27,6,2019,3807
Jet Airways,delhi,cochin,600,1,in-flight meal not included,9,0,6,6,2019,10262
Indigo,banglore,delhi,170,0,no info,8,30,9,6,2019,4823
Jet Airways,kolkata,banglore,1655,1,no info,6,30,21,5,2019,13941
Jet Airways,kolkata,banglore,1090,1,in-flight meal not included,14,5,1,5,2019,8586
Jet Airways,delhi,cochin,925,1,in-flight meal not included,13,0,6,3,2019,13843
Air India,kolkata,banglore,1625,2,no info,5,50,15,5,2019,12723
Air India,banglore,new delhi,925,2,no info,19,10,3,3,2019,13355
Jet Airways,delhi,cochin,1045,2,no info,19,10,27,6,2019,12819
Indigo,mumbai,hyderabad,85,0,no info,21,20,18,3,2019,2227
Multiple Carriers,delhi,cochin,560,1,no info,4,0,3,3,2019,14973
Jet Airways,kolkata,banglore,330,1,in-flight meal not included,6,30,6,6,2019,10844
Indigo,banglore,delhi,170,0,no info,13,0,18,5,2019,4423
Jet Airways,kolkata,banglore,1295,1,no info,20,25,24,5,2019,14151
Spicejet,kolkata,banglore,145,0,no info,9,0,6,4,2019,3873
Jet Airways,kolkata,banglore,1345,1,in-flight meal not included,19,45,24,3,2019,10031
Multiple Carriers,delhi,cochin,460,2,no info,17,50,27,6,2019,18275
Jet Airways,delhi,cochin,1325,1,in-flight meal not included,20,55,12,6,2019,10262
Jet Airways,delhi,cochin,810,2,no info,23,5,9,5,2019,15129
Jet Airways,kolkata,banglore,1730,1,in-flight meal not included,9,35,21,5,2019,9314
Indigo,banglore,delhi,170,0,no info,0,25,1,6,2019,4077
Indigo,banglore,new delhi,175,0,no info,21,20,24,3,2019,4777
Spicejet,kolkata,banglore,140,0,no check-in baggage included,22,20,27,4,2019,3841
Multiple Carriers,delhi,cochin,470,1,no info,11,25,15,5,2019,7575
Spicejet,kolkata,banglore,160,0,no info,6,55,1,3,2019,4622
Jet Airways,banglore,new delhi,1400,1,in-flight meal not included,5,45,3,3,2019,11087
Air India,delhi,cochin,875,1,no info,17,40,6,3,2019,11038
Indigo,delhi,cochin,315,1,no info,7,15,6,6,2019,6582
Jet Airways,delhi,cochin,910,2,in-flight meal not included,21,25,15,6,2019,9905
Spicejet,banglore,new delhi,175,0,no check-in baggage included,9,35,21,3,2019,4839
Spicejet,kolkata,banglore,435,1,no info,11,15,15,5,2019,8844
Jet Airways,kolkata,banglore,505,1,no info,9,35,12,6,2019,12692
Air India,kolkata,banglore,905,1,no info,16,50,1,4,2019,7893
Indigo,mumbai,hyderabad,90,0,no info,19,5,3,6,2019,2754
Indigo,banglore,delhi,170,0,no info,8,30,12,4,2019,4823
Jet Airways,delhi,cochin,620,1,no info,2,15,9,6,2019,18371
Indigo,banglore,new delhi,175,0,no info,20,0,3,3,2019,7303
Spicejet,kolkata,banglore,330,1,no info,15,55,6,6,2019,8224
Multiple Carriers,delhi,cochin,780,1,no info,0,20,1,3,2019,29528
Jet Airways,banglore,new delhi,400,1,business class,5,45,1,3,2019,62427
Indigo,delhi,cochin,320,1,no info,6,50,15,6,2019,5298
Jet Airways,delhi,cochin,550,1,no info,19,15,21,5,2019,16079
Air India,delhi,cochin,435,2,no info,12,0,1,6,2019,10336
Air India,kolkata,banglore,1100,2,no info,7,0,18,5,2019,13243
Goair,banglore,delhi,175,0,no info,7,45,1,6,2019,5048
Indigo,banglore,new delhi,165,0,no info,6,0,9,3,2019,7648
Jet Airways,banglore,delhi,175,0,in-flight meal not included,11,10,15,6,2019,7229
Spicejet,kolkata,banglore,155,0,no info,6,55,21,6,2019,3873
Air India,chennai,kolkata,135,0,no info,11,40,21,3,2019,3670
Air India,delhi,cochin,640,1,no info,21,0,12,6,2019,8372
Air India,delhi,cochin,520,1,no info,23,0,6,3,2019,14777
Multiple Carriers,delhi,cochin,460,1,no info,4,55,21,5,2019,9103
Air India,delhi,cochin,925,1,no info,3,50,3,6,2019,8669
Multiple Carriers,delhi,cochin,705,1,no info,7,30,21,3,2019,10161
Indigo,delhi,cochin,630,1,no info,15,0,9,5,2019,8330
Indigo,banglore,new delhi,175,0,no info,7,10,21,3,2019,6860
Air India,delhi,cochin,1455,1,no info,19,0,1,6,2019,8792
Multiple Carriers,delhi,cochin,840,1,no info,7,0,18,5,2019,8073
Indigo,kolkata,banglore,255,1,no info,6,15,3,4,2019,4226
Jet Airways,delhi,cochin,660,1,no info,8,0,18,5,2019,15554
Spicejet,kolkata,banglore,150,0,no info,17,10,18,6,2019,3873
Jet Airways,banglore,new delhi,1070,1,no info,16,55,12,3,2019,13817
Jet Airways,delhi,cochin,195,0,in-flight meal not included,11,0,21,4,2019,7202
Indigo,mumbai,hyderabad,90,0,no info,12,0,3,6,2019,2754
Jet Airways,banglore,new delhi,850,1,in-flight meal not included,20,35,12,3,2019,11087
Indigo,chennai,kolkata,145,0,no info,11,35,24,6,2019,3858
Jet Airways,kolkata,banglore,705,1,no info,6,30,9,5,2019,14781
Multiple Carriers,delhi,cochin,580,1,no info,9,10,3,3,2019,15135
Indigo,mumbai,hyderabad,90,0,no info,9,10,18,3,2019,4049
Jet Airways,delhi,cochin,195,0,in-flight meal not included,11,0,21,6,2019,4256
Air India,delhi,cochin,185,0,no info,18,5,9,5,2019,6094
Air India,delhi,cochin,1420,1,no info,9,45,15,5,2019,7480
Air India,banglore,new delhi,385,1,no info,6,55,24,3,2019,7932
Jet Airways,kolkata,banglore,510,1,in-flight meal not included,14,5,21,5,2019,10844
Indigo,delhi,cochin,530,1,no info,6,40,27,3,2019,8574
Jet Airways,delhi,cochin,300,1,in-flight meal not included,14,0,6,4,2019,5177
Jet Airways,delhi,cochin,715,1,no info,7,5,21,5,2019,16289
Air India,delhi,cochin,2295,2,no info,5,0,27,3,2019,8026
Air India,banglore,delhi,165,0,no info,10,0,1,5,2019,6121
Jet Airways,delhi,cochin,395,1,no info,21,50,24,6,2019,14714
Spicejet,kolkata,banglore,155,0,no info,6,55,24,6,2019,3873
Jet Airways,kolkata,banglore,730,1,no info,16,30,12,5,2019,14388
Air India,banglore,new delhi,1595,1,no info,9,30,1,3,2019,12704
Jet Airways,delhi,cochin,1525,1,in-flight meal not included,17,25,9,3,2019,14053
Multiple Carriers,delhi,cochin,840,1,in-flight meal not included,11,30,27,5,2019,6733
Jet Airways,delhi,cochin,1425,1,no info,19,15,3,6,2019,14714
Indigo,chennai,kolkata,135,0,no info,13,20,15,3,2019,6297
Jet Airways,kolkata,banglore,590,1,no info,6,30,24,3,2019,13339
Multiple Carriers,delhi,cochin,930,1,no info,10,0,27,6,2019,13377
Jet Airways,kolkata,banglore,1170,1,in-flight meal not included,16,30,24,5,2019,10844
Jet Airways,delhi,cochin,1390,2,no info,13,25,24,6,2019,12819
Jet Airways,banglore,new delhi,640,1,no info,22,50,6,3,2019,17261
Indigo,kolkata,banglore,155,0,no info,4,40,3,6,2019,5224
Multiple Carriers,delhi,cochin,485,1,no info,10,45,21,3,2019,11622
Air India,kolkata,banglore,1540,1,no info,16,50,1,4,2019,7893
Air Asia,kolkata,banglore,150,0,no info,19,55,1,4,2019,3807
Spicejet,mumbai,hyderabad,90,0,no info,5,45,12,6,2019,2753
Jet Airways,delhi,cochin,1000,2,no info,11,45,9,6,2019,13882
Indigo,banglore,delhi,165,0,no info,6,5,27,5,2019,4423
Jet Airways,banglore,new delhi,390,1,in-flight meal not included,5,50,15,3,2019,5853
Jet Airways,delhi,cochin,590,1,in-flight meal not included,9,0,3,3,2019,15400
Air India,delhi,cochin,520,1,no info,23,0,18,5,2019,8372
Air India,kolkata,banglore,580,1,no info,19,0,24,5,2019,6327
Jet Airways,kolkata,banglore,975,1,no info,19,45,24,3,2019,14231
Multiple Carriers,delhi,cochin,660,1,no info,10,0,9,5,2019,13727
Jet Airways,kolkata,banglore,705,1,no info,6,30,1,5,2019,14781
Multiple Carriers,delhi,cochin,915,1,no info,10,20,27,3,2019,6427
Spicejet,banglore,delhi,175,0,no check-in baggage included,21,10,24,5,2019,3919
Multiple Carriers,delhi,cochin,395,1,no info,19,0,6,3,2019,15147
Multiple Carriers,delhi,cochin,455,1,no info,11,40,6,3,2019,15353
Air India,banglore,new delhi,165,0,no info,10,0,24,3,2019,7276
Multiple Carriers,delhi,cochin,480,1,no info,17,30,15,5,2019,13727
Jet Airways,kolkata,banglore,1630,1,in-flight meal not included,20,25,6,5,2019,8066
Air Asia,banglore,delhi,170,0,no info,23,55,18,5,2019,4483
Jet Airways,delhi,cochin,885,1,no info,21,50,1,6,2019,14714
Jet Airways,kolkata,banglore,435,1,no info,10,20,21,5,2019,8355
Jet Airways,banglore,delhi,180,0,no info,8,20,24,5,2019,7229
Indigo,kolkata,banglore,150,0,no info,15,15,27,4,2019,4804
Indigo,chennai,kolkata,145,0,no info,22,5,15,3,2019,6297
Jet Airways,kolkata,banglore,1570,1,no info,17,0,9,6,2019,12692
Jet Airways,delhi,cochin,425,2,no info,5,30,21,5,2019,16274
Spicejet,mumbai,hyderabad,85,0,no info,22,45,18,3,2019,2017
Jet Airways,delhi,cochin,1995,2,in-flight meal not included,19,10,27,3,2019,6643
Air India,kolkata,banglore,1440,1,no info,14,35,18,5,2019,6528
Air India,kolkata,banglore,1210,2,no info,9,25,12,5,2019,11642
Jet Airways,delhi,cochin,1005,1,no info,2,15,12,6,2019,14714
Indigo,banglore,delhi,170,0,no info,20,0,3,5,2019,4823
Jet Airways,delhi,cochin,1375,2,no info,5,30,6,6,2019,13014
Vistara,banglore,delhi,170,0,no info,9,45,21,4,2019,5403
Indigo,banglore,delhi,170,0,no info,22,10,3,4,2019,3943
Air India,delhi,cochin,1795,2,no info,13,20,6,6,2019,12961
Jet Airways,delhi,cochin,1475,1,no info,18,15,21,3,2019,12557
Indigo,chennai,kolkata,135,0,no info,13,20,12,3,2019,6297
Jet Airways,delhi,cochin,1520,1,in-flight meal not included,17,30,21,3,2019,5963
Jet Airways,delhi,cochin,1325,1,in-flight meal not included,20,55,21,5,2019,12898
Multiple Carriers,delhi,cochin,435,1,no info,18,15,27,5,2019,13377
Jet Airways,banglore,new delhi,280,1,in-flight meal not included,9,45,21,3,2019,7280
Indigo,delhi,cochin,265,1,no info,7,35,27,3,2019,5073
Indigo,kolkata,banglore,295,1,no info,9,20,9,5,2019,11465
Jet Airways,delhi,cochin,1375,2,no info,5,30,15,6,2019,13014
Spicejet,kolkata,banglore,435,1,no info,11,15,6,6,2019,10156
Multiple Carriers,delhi,cochin,455,1,no info,11,25,15,6,2019,10877
Jet Airways,delhi,cochin,1845,2,no info,12,15,27,6,2019,14300
Air India,kolkata,banglore,1195,2,no info,12,0,12,5,2019,10676
Jet Airways,kolkata,banglore,730,1,no info,16,30,21,5,2019,14388
Jet Airways,delhi,cochin,350,1,in-flight meal not included,13,0,6,3,2019,15103
Jet Airways,delhi,cochin,395,1,in-flight meal not included,21,50,6,3,2019,13843
Jet Airways,kolkata,banglore,425,1,no info,16,30,18,5,2019,14781
Jet Airways,kolkata,banglore,435,1,in-flight meal not included,10,20,6,5,2019,7064
Indigo,chennai,kolkata,140,0,no info,19,35,27,5,2019,3597
Jet Airways,banglore,new delhi,280,1,in-flight meal not included,5,45,24,3,2019,8147
Indigo,banglore,delhi,175,0,no info,0,30,6,5,2019,4284
Spicejet,kolkata,banglore,145,0,no info,9,0,6,6,2019,3873
Jet Airways,kolkata,banglore,590,1,no info,8,25,6,5,2019,14781
Air India,kolkata,banglore,2245,2,no info,9,50,24,3,2019,14410
Air India,delhi,cochin,1380,2,no info,20,15,21,5,2019,13381
Multiple Carriers,delhi,cochin,540,1,no info,10,0,9,6,2019,12192
Jet Airways,kolkata,banglore,775,1,in-flight meal not included,21,10,12,5,2019,8586
Indigo,banglore,delhi,170,0,no info,4,0,9,4,2019,3943
Jet Airways,delhi,cochin,1095,2,no info,18,20,12,6,2019,14300
Spicejet,mumbai,hyderabad,90,0,no info,13,15,3,5,2019,2017
Multiple Carriers,delhi,cochin,925,1,no info,7,5,12,6,2019,9646
Jet Airways,banglore,new delhi,690,1,no info,22,55,12,3,2019,13817
Vistara,kolkata,banglore,1550,1,no info,17,0,12,5,2019,9135
Multiple Carriers,delhi,cochin,740,1,no info,6,40,3,6,2019,10877
Jet Airways,banglore,new delhi,570,1,no info,8,55,18,3,2019,12284
Jet Airways,delhi,cochin,805,1,no info,15,0,1,6,2019,14714
Indigo,chennai,kolkata,140,0,no info,22,5,18,3,2019,5277
Multiple Carriers,delhi,cochin,755,1,no info,13,0,3,3,2019,17493
Indigo,kolkata,banglore,155,0,no info,11,30,24,6,2019,4804
Jet Airways,delhi,cochin,1790,2,in-flight meal not included,6,45,27,6,2019,10919
Air India,delhi,cochin,705,1,no info,20,30,15,5,2019,10671
Jet Airways,delhi,cochin,1620,2,no info,9,35,15,6,2019,13292
Jet Airways,kolkata,banglore,455,1,no info,21,10,24,3,2019,13759
Air India,banglore,delhi,165,0,no info,10,0,12,5,2019,5228
Air India,kolkata,banglore,155,0,no info,20,45,27,6,2019,4145
Jet Airways,banglore,delhi,175,0,no info,11,10,3,4,2019,7229
Indigo,delhi,cochin,195,0,no info,14,20,18,4,2019,6015
Air India,banglore,delhi,165,0,no info,6,10,6,4,2019,5176
Jet Airways,delhi,cochin,1925,2,in-flight meal not included,10,45,21,3,2019,9270
Air Asia,delhi,cochin,330,1,no info,7,55,27,5,2019,6451
Indigo,kolkata,banglore,325,1,no info,18,5,6,5,2019,6218
Indigo,banglore,delhi,175,0,no info,18,55,24,6,2019,4823
Jet Airways,delhi,cochin,1025,2,in-flight meal not included,19,30,18,5,2019,10368
Multiple Carriers,delhi,cochin,755,1,no info,13,0,27,3,2019,6673
Indigo,banglore,new delhi,285,1,no info,5,15,1,3,2019,8064
Jet Airways,delhi,cochin,1745,2,no info,13,45,9,3,2019,18752
Goair,banglore,delhi,175,0,no info,7,45,12,5,2019,3898
Spicejet,banglore,delhi,175,0,no info,21,10,3,5,2019,4991
Multiple Carriers,delhi,cochin,900,1,no info,6,0,15,5,2019,7670
Goair,delhi,cochin,540,1,no info,10,35,21,5,2019,6195
Air India,kolkata,banglore,920,2,no info,10,0,1,4,2019,10408
Indigo,kolkata,banglore,155,0,no info,22,15,18,6,2019,4804
Multiple Carriers,delhi,cochin,570,1,no info,11,30,9,5,2019,13727
Multiple Carriers,delhi,cochin,455,1,no info,11,40,15,5,2019,9001
Air India,kolkata,banglore,590,2,no info,12,0,6,5,2019,10151
Indigo,delhi,cochin,965,1,no info,4,55,27,5,2019,8784
Jet Airways,delhi,cochin,300,1,no info,14,0,1,6,2019,14714
Jet Airways,delhi,cochin,1680,1,no info,15,0,3,6,2019,14714
Vistara,banglore,delhi,165,0,no info,19,30,6,6,2019,5088
Multiple Carriers,delhi,cochin,780,1,no info,8,0,21,3,2019,6883
Spicejet,kolkata,banglore,150,0,no check-in baggage included,17,10,15,5,2019,3841
Spicejet,banglore,delhi,170,0,no check-in baggage included,9,30,15,4,2019,4319
Spicejet,banglore,new delhi,170,0,no check-in baggage included,5,45,24,3,2019,3527
Jet Airways,banglore,new delhi,315,1,no info,8,0,18,3,2019,12284
Air India,kolkata,banglore,1840,2,no info,5,50,15,5,2019,12723
Indigo,delhi,cochin,355,1,no info,2,35,6,3,2019,13790
Air India,banglore,delhi,165,0,no info,17,0,1,6,2019,7171
Jet Airways,kolkata,banglore,475,1,in-flight meal not included,8,25,1,4,2019,7851
Multiple Carriers,delhi,cochin,720,1,no info,9,0,1,6,2019,13587
Air India,delhi,cochin,1490,2,no info,6,50,27,5,2019,16163
Air India,delhi,cochin,2295,2,no info,5,0,12,6,2019,9443
Air India,banglore,new delhi,615,1,no info,8,15,21,3,2019,4943
Air India,delhi,cochin,760,1,no info,19,0,24,6,2019,8372
Air India,kolkata,banglore,1200,2,no info,9,25,6,5,2019,17732
Indigo,delhi,cochin,665,1,no info,5,5,24,6,2019,6442
Jet Airways,banglore,new delhi,520,1,in-flight meal not included,11,40,21,3,2019,7832
Air India,mumbai,hyderabad,80,0,no info,21,5,3,4,2019,2050
Indigo,chennai,kolkata,145,0,no info,11,35,15,3,2019,6297
Jet Airways,kolkata,banglore,1495,1,in-flight meal not included,18,55,24,5,2019,10844
Multiple Carriers,delhi,cochin,840,1,no info,7,0,3,6,2019,7618
Air India,banglore,delhi,170,0,no info,13,20,21,6,2019,6961
Air India,delhi,cochin,965,1,no info,17,20,12,6,2019,7480
Jet Airways,kolkata,banglore,800,1,in-flight meal not included,20,0,12,5,2019,9663
Jet Airways,banglore,new delhi,1425,1,no info,11,40,6,3,2019,17261
Air India,banglore,delhi,165,0,no info,6,10,3,4,2019,4441
Multiple Carriers,delhi,cochin,795,1,no info,6,0,9,3,2019,14408
Air Asia,banglore,delhi,170,0,no info,23,55,9,4,2019,4483
Spicejet,banglore,delhi,170,0,no info,9,30,1,4,2019,3971
Jet Airways,kolkata,banglore,425,1,no info,16,30,12,5,2019,14781
Jet Airways,kolkata,banglore,1395,1,in-flight meal not included,18,55,24,3,2019,11134
Jet Airways,mumbai,hyderabad,90,0,no info,15,50,18,3,2019,5678
Indigo,chennai,kolkata,145,0,no info,11,35,6,3,2019,7295
Vistara,banglore,delhi,160,0,no info,7,0,9,4,2019,5403
Indigo,kolkata,banglore,155,0,no info,15,30,1,5,2019,4804
Jet Airways,delhi,cochin,1375,2,no info,5,30,12,6,2019,13292
Jet Airways,banglore,new delhi,550,1,in-flight meal not included,7,0,15,3,2019,9134
Indigo,kolkata,banglore,315,1,no info,21,0,15,5,2019,7228
Jet Airways,mumbai,hyderabad,90,0,no info,10,20,1,6,2019,5678
Jet Airways,delhi,cochin,1380,2,no info,5,25,3,3,2019,18799
Indigo,kolkata,banglore,240,1,no info,6,20,9,5,2019,4226
Spicejet,mumbai,hyderabad,90,0,no check-in baggage included,22,45,27,6,2019,1965
Vistara,kolkata,banglore,975,1,no info,7,10,9,6,2019,9345
Indigo,kolkata,banglore,150,0,no info,15,15,12,5,2019,4804
Air Asia,kolkata,banglore,500,2,no info,15,10,24,5,2019,5192
Jet Airways,delhi,cochin,540,1,no info,10,0,6,6,2019,14714
Spicejet,chennai,kolkata,135,0,no check-in baggage included,8,20,9,6,2019,3543
Indigo,mumbai,hyderabad,90,0,no info,2,35,9,6,2019,2754
Spicejet,mumbai,hyderabad,90,0,no info,5,45,12,5,2019,2017
Air India,delhi,cochin,1560,2,no info,17,15,21,5,2019,11972
Air Asia,banglore,delhi,165,0,no info,11,10,6,5,2019,3383
Multiple Carriers,delhi,cochin,690,1,no info,14,0,6,6,2019,13377
Goair,kolkata,banglore,495,1,no info,23,30,15,5,2019,6945
Spicejet,mumbai,hyderabad,90,0,no info,13,15,6,6,2019,2017
Jet Airways,delhi,cochin,395,1,no info,21,50,27,3,2019,12242
Multiple Carriers,delhi,cochin,440,1,no info,11,40,15,5,2019,10529
Indigo,delhi,cochin,845,1,no info,11,25,15,6,2019,5883
Jet Airways,kolkata,banglore,425,1,in-flight meal not included,16,30,12,5,2019,10844
Vistara,delhi,cochin,175,0,no info,14,55,15,3,2019,6688
Indigo,delhi,cochin,290,1,no info,15,10,3,6,2019,6493
Jet Airways,delhi,cochin,1620,2,no info,9,35,21,5,2019,13559
Jet Airways,delhi,cochin,865,1,in-flight meal not included,14,0,21,3,2019,7438
Jet Airways,delhi,cochin,440,2,no info,11,40,1,6,2019,18804
Jet Airways,delhi,cochin,600,1,no info,9,0,6,6,2019,14714
Air India,kolkata,banglore,1255,2,no info,16,50,12,6,2019,11542
Jet Airways,kolkata,banglore,730,1,in-flight meal not included,21,10,12,6,2019,8529
Air India,mumbai,hyderabad,90,0,no info,13,55,1,5,2019,3625
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,19,35,24,3,2019,2470
Air India,chennai,kolkata,135,0,no info,11,40,1,6,2019,4667
Vistara,delhi,cochin,190,0,no info,6,0,9,4,2019,5586
Indigo,chennai,kolkata,140,0,no info,22,5,27,5,2019,5277
Air India,kolkata,banglore,875,2,no info,5,50,9,5,2019,10991
Indigo,banglore,new delhi,170,0,no info,4,0,21,3,2019,4777
Jet Airways,delhi,cochin,540,1,in-flight meal not included,10,0,1,4,2019,5406
Spicejet,delhi,cochin,380,1,no info,15,45,24,4,2019,5583
Air India,delhi,cochin,320,1,no info,17,40,9,6,2019,7384
Multiple Carriers,delhi,cochin,395,1,no info,6,0,21,5,2019,9794
Air India,delhi,cochin,1380,2,no info,20,15,9,5,2019,13591
Multiple Carriers,delhi,cochin,640,1,no info,10,20,18,5,2019,7670
Jet Airways,kolkata,banglore,730,1,no info,21,10,21,5,2019,14781
Multiple Carriers,delhi,cochin,765,1,no info,12,50,3,3,2019,18192
Air India,banglore,delhi,165,0,no info,6,10,6,5,2019,6121
Spicejet,kolkata,banglore,155,0,no info,6,55,1,6,2019,3873
Jet Airways,delhi,cochin,450,1,in-flight meal not included,11,30,6,6,2019,10262
Indigo,delhi,cochin,560,1,no info,6,50,27,5,2019,6674
Air Asia,kolkata,banglore,150,0,no info,22,50,21,5,2019,4107
Jet Airways,banglore,delhi,180,0,in-flight meal not included,8,20,1,5,2019,5198
Vistara,kolkata,banglore,385,1,no info,17,0,1,4,2019,8610
Multiple Carriers,delhi,cochin,385,1,no info,9,45,12,6,2019,9646
Vistara,banglore,delhi,170,0,no info,21,0,18,5,2019,4668
Jet Airways,kolkata,banglore,475,1,no info,8,25,18,5,2019,14781
Jet Airways,kolkata,banglore,570,1,in-flight meal not included,14,5,9,6,2019,10844
Indigo,delhi,cochin,305,1,no info,20,30,9,3,2019,6937
Jet Airways,delhi,cochin,1005,1,in-flight meal not included,2,15,9,6,2019,10262
Goair,delhi,cochin,370,1,no info,7,25,6,5,2019,6296
Goair,delhi,cochin,310,1,no info,14,25,9,6,2019,9069
Air India,delhi,cochin,925,1,no info,3,50,27,5,2019,9719
Jet Airways,banglore,delhi,175,0,in-flight meal not included,11,10,24,5,2019,4030
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,19,35,15,3,2019,2759
Vistara,banglore,delhi,155,0,no info,17,0,18,6,2019,4878
Indigo,delhi,cochin,485,1,no info,17,30,9,3,2019,12351
Jet Airways,mumbai,hyderabad,85,0,in-flight meal not included,7,5,9,5,2019,4995
Indigo,banglore,delhi,180,0,no info,21,15,18,4,2019,4591
Jet Airways,delhi,cochin,335,1,no info,22,50,18,5,2019,15554
Vistara,banglore,delhi,170,0,no info,21,0,9,6,2019,4668
Multiple Carriers,delhi,cochin,615,1,no info,9,0,27,5,2019,15898
Spicejet,mumbai,hyderabad,90,0,no info,22,45,18,6,2019,2017
Air India,delhi,cochin,1420,1,no info,9,45,1,4,2019,5117
Air India,banglore,delhi,170,0,no info,21,5,18,4,2019,5228
Jet Airways,delhi,cochin,450,1,no info,11,30,9,5,2019,15554
Jet Airways,delhi,cochin,1475,1,no info,18,15,9,3,2019,16289
Jet Airways,delhi,cochin,925,1,in-flight meal not included,13,0,24,6,2019,10262
Multiple Carriers,delhi,cochin,765,1,no info,12,50,6,3,2019,15147
Indigo,mumbai,hyderabad,90,0,no info,9,10,1,4,2019,3342
Jet Airways,banglore,new delhi,400,1,no info,5,45,18,3,2019,12284
Jet Airways,delhi,cochin,450,1,in-flight meal not included,20,55,6,6,2019,10262
Indigo,banglore,delhi,175,0,no info,18,55,21,4,2019,4823
Multiple Carriers,delhi,cochin,505,1,no info,10,35,24,6,2019,10678
Spicejet,chennai,kolkata,155,0,no info,9,30,18,3,2019,3859
Indigo,banglore,new delhi,170,0,no info,22,20,24,3,2019,4377
Indigo,kolkata,banglore,160,0,no info,17,15,9,3,2019,4778
Air India,kolkata,banglore,155,0,no info,20,45,3,5,2019,4145
Air Asia,kolkata,banglore,150,0,no info,19,35,27,3,2019,3782
Jet Airways,kolkata,banglore,520,1,no info,20,0,12,6,2019,12576
Jet Airways,banglore,new delhi,1425,1,in-flight meal not included,11,40,21,3,2019,7832
Air India,delhi,cochin,185,0,no info,18,5,6,3,2019,7931
Jet Airways,banglore,delhi,175,0,in-flight meal not included,11,10,12,6,2019,5769
Indigo,chennai,kolkata,140,0,no info,14,45,9,6,2019,3597
Jet Airways,kolkata,banglore,1500,1,in-flight meal not included,17,0,9,5,2019,7341
Jet Airways,delhi,cochin,1125,2,in-flight meal not included,9,40,1,6,2019,10368
Jet Airways,delhi,cochin,715,1,no info,7,5,24,6,2019,18581
Air Asia,kolkata,banglore,215,1,no info,19,55,24,3,2019,5554
Air India,kolkata,banglore,1045,2,no info,5,50,6,6,2019,12723
Air Asia,banglore,delhi,170,0,no info,23,55,27,5,2019,3383
Air Asia,kolkata,banglore,710,1,no info,7,35,15,4,2019,5192
Jet Airways,banglore,delhi,175,0,in-flight meal not included,15,15,3,4,2019,4544
Indigo,mumbai,hyderabad,90,0,no info,12,0,15,6,2019,2754
Air India,kolkata,banglore,805,2,no info,9,50,1,4,2019,12125
Goair,delhi,cochin,310,1,no info,14,10,6,3,2019,19495
Jet Airways,delhi,cochin,1125,2,no info,9,40,18,5,2019,15129
Vistara,banglore,delhi,165,0,no info,19,30,12,6,2019,4878
Indigo,banglore,delhi,180,0,no info,21,15,12,4,2019,4990
Indigo,chennai,kolkata,145,0,no info,11,35,15,6,2019,3858
Jet Airways,kolkata,banglore,590,1,in-flight meal not included,6,30,6,5,2019,10844
Spicejet,banglore,delhi,175,0,no info,21,10,18,4,2019,5621
Air India,banglore,new delhi,165,0,no info,21,10,15,3,2019,8851
Air India,banglore,new delhi,1030,2,no info,6,45,3,3,2019,10573
Air India,kolkata,banglore,970,2,no info,16,45,9,5,2019,13227
Spicejet,kolkata,banglore,145,0,no check-in baggage included,9,0,9,4,2019,3841
Multiple Carriers,delhi,cochin,630,1,no info,8,45,21,5,2019,8266
Jet Airways,delhi,cochin,600,1,in-flight meal not included,9,0,9,6,2019,10262
Jet Airways,banglore,new delhi,1235,1,in-flight meal not included,11,40,15,3,2019,9134
Air India,delhi,cochin,320,1,no info,17,40,27,5,2019,7174
Indigo,delhi,cochin,625,1,no info,11,55,9,3,2019,6674
Jet Airways,kolkata,banglore,505,1,no info,9,35,9,6,2019,14676
Air India,banglore,new delhi,1670,2,no info,6,45,18,3,2019,12305
Air India,mumbai,hyderabad,1775,3,no info,9,40,12,3,2019,18293
Indigo,delhi,cochin,570,1,no info,6,40,3,3,2019,9027
Multiple Carriers,delhi,cochin,665,1,no info,2,15,6,3,2019,17057
Indigo,chennai,kolkata,140,0,no info,7,55,3,3,2019,7295
Spicejet,delhi,cochin,270,1,no check-in baggage included,8,45,15,4,2019,5726
Indigo,banglore,delhi,165,0,no info,6,5,15,4,2019,4423
Air India,chennai,kolkata,135,0,no info,11,40,6,5,2019,4667
Jet Airways,kolkata,banglore,690,1,in-flight meal not included,9,35,1,4,2019,8066
Jet Airways,delhi,cochin,425,2,in-flight meal not included,5,30,21,5,2019,15544
Air India,delhi,cochin,2170,2,no info,7,5,6,3,2019,11552
Multiple Carriers,delhi,cochin,560,1,no info,11,40,27,3,2019,6637
Jet Airways,kolkata,banglore,730,1,no info,16,30,9,5,2019,14781
Multiple Carriers,delhi,cochin,470,1,no info,4,45,21,3,2019,9838
Jet Airways,delhi,cochin,600,1,no info,9,0,18,5,2019,15554
Indigo,banglore,delhi,170,0,no info,10,10,27,5,2019,3943
Multiple Carriers,delhi,cochin,750,1,no info,13,0,15,5,2019,13727
